 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
8,79E+12;RJ ;ABARRACAMENTO ;ABARRACAMENTO ;AV ADELAIDE CHIOZZO, 206;100.741,08;170.000,00;40.75;Apartamento, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702457500
1,44E+12;RJ ;ANGRA DOS REIS ;PARQUE MAMBUCABA MAM ;RUA TRES DE MAIO;280.609,48;770.695,00;63.60;Casa, 0.00 de área total, 356.53 de área privativa, 1200.00 de área do terreno, 4 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413830678
1,44E+12;RJ ;RIO DAS OSTRAS ;LOTEAMENTO EXTENSAO DO SERRAMAR ;RUA 47;43.792,80;132.500,00;66.95;Terreno, 0.00 de área total, 0.00 de área privativa, 567.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407776926
8,44E+12;RJ ;ARARUAMA ;ARARUAMA ;RUA DO CONTORNO, 276;44.433,74;130.000,00;65.83;Casa, 0.00 de área total, 63.19 de área privativa, 150.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420546112
8,44E+12;RJ ;ARARUAMA ;ITATIQUARA ;RUA WALDOMIRO MAXIMO CARVALHO, 106;48.955,99;133.000,00;63.20;Casa, 0.00 de área total, 52.01 de área privativa, 457.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411394216
8,44E+12;RJ ;ARARUAMA ;CENTRO SAO VICENTE ;ESTRADA RJ  138, 180;46.672,64;122.000,00;61.75;Casa, 58.46 de área total, 58.46 de área privativa, 163.23 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415562032
1,44E+12;RJ ;ARARUAMA ;NOVO HORIZONTE (IGUABINHA) ;RUA R INDAIA, 255;79.527,35;203.000,00;60.83;Casa, 102.51 de área total, 102.51 de área privativa, 600.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405378346
8,44E+12;RJ ;ARARUAMA ;NOVO HORIZONTE ;RUA DO CONTORNO, 276 ;64.962,97;164.000,00;60.39;Casa, 0.00 de área total, 63.19 de área privativa, 750.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420123793
8,44E+12;RJ ;ARARUAMA ;PARATY ;RUA JURUA, 100;66.547,43;168.000,00;60.39;Casa, 0.00 de área total, 58.09 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420614240
