 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
8,44442E+12;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA ALEIXO PEREIRA DE SOUZA, N. 101, LT 16A QD N ;143.492,39;60.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424121604
8,44443E+12;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL U ; JOAO DE AZEVEDO SOARES, N. SN, LT 10B ;154.485,56;43.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426252757
8,44443E+12;SP ;ALVARES MACHADO ;ALVARES MACHADO ;RUA VEREADOR JOSE YUITI HIGUTI, N. SN, LT 05-B, QD J ;159.306,54;44.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428043020
8,44441E+12;SP ;ALVARO DE CARVALHO ;CENTRO ;RUA ANTONIO PANTAROTO, N. 27, LT 19 QD 2AP ;44.838,10;80.000,00;43.96;Casa, 0.00 de área total, 54.50 de área privativa, 290.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409326268
8,44443E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 301, BL 17, VG 698 ;93.037,35;157.000,00;40.75;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425156045
8,7877E+12;SP ;AMERICANA ;FAZ SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 103,  BL 02, VG 46 ;119.072,54;197.005,10;39.56;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702620851
8,44442E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 308, BL19 VG 673 ;114.838,57;190.000,00;39.56;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424627354
8,55554E+12;SP ;AMERICANA ;JARDIM BELA VISTA ;AVENIDA EUROPA, N. 928, Apto 16, TORRE 2 ;172.669,87;282.000,00;38.77;Apartamento, 129.93 de área total, 49.71 de área privativa, 0.01 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539648933
8,44442E+12;SP ;AMERICANA ;OLHO D'AGUA ;RUA MARANHAO, N. 1945, Apto 12, BL 12 VG 151 ;107.463,17;174.000,00;38.24;Apartamento, 0.00 de área total, 49.27 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421676923
8,44441E+12;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 1518, Apto 802, BLOCO 08, VG N 169 ;124.625,81;198.000,00;37.06;Apartamento, 56.26 de área total, 50.73 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410024580
1,44441E+12;SP ;AMERICANA ;RESIDENCIAL HORTO FLORESTAL JACYRA I ;RUA LEOPOLDO DELTREGIA, N. 668, QDH LT32 ;684.176,02;1.073.530,00;36.27;Casa, 0.00 de área total, 186.24 de área privativa, 300.00 de área do terreno,  3 qto(s), 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405570409
8,55553E+12;SP ;AMERICANA ;CHACARA LETONIA ;AVENIDA COMENDADOR THOMAZ FORTUNATO, N. 2000, Apto 406, BLOCO 6 3º PAVIMENTO ;175.000,00;175.000,00;0.00;Apartamento, 84.11 de área total, 50.44 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555528787449
1,55553E+12;SP ;AMERICANA ;CENTRO ;RUA DOM PEDRO II, N. 255, Apto 124, 124B 12 ANDARA BL B  VG  N 77 ;277.500,00;277.500,00;0.00;Apartamento, 79.26 de área total, 52.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555534095881
8,7877E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 303, 2º PAVIMENTO - BLOCO 02 ;180.184,46;180.184,46;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702650246
8,7877E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 303, BL 06, GL A3B, VG 99 ;194.000,00;194.000,00;0.00;Apartamento, 90.58 de área total, 79.08 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704772675
8,78771E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 302, BL 14 VAGA 747 ;187.000,00;187.000,00;0.00;Apartamento, 50.42 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706921368
8,78771E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 308, BL 14 GLB A3B ;189.994,00;189.994,00;0.00;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707542182
8,55553E+12;SP ;AMERICANA ;JARDIM NOSSA SENHORA DO CARMO ;RUA SAO GONCALO, N. 40, Apto 106, TIPO A - 10º PAVIMENTO - BLOCO F ;212.000,00;212.000,00;0.00;Apartamento, 0.00 de área total, 55.12 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526312893
8,55554E+12;SP ;AMERICANA ;JARDIM BELA VISTA ;AVENIDA EUROPA, N. 928, Apto 11, TORRE 11 1º PAVIMENTO ;234.000,00;234.000,00;0.00;Apartamento, 130.59 de área total, 49.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555540216030
