 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
1,44442E+12;SP ;FRANCA ;PROLONGAMENTO RESIDENCIAL ANA DOROTHEA ;RUA MOACYR FALEIROS, N. 5870, LT 02 QD 08 ;700.000,00;700.000,00;0.00;Casa, 164.45 de área total, 164.45 de área privativa, 200.00 de área do terreno,  1 qto(s), 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417762200
8,44442E+12;SP ;FRANCA ;RESIDENCIAL SAO JERONIMO ;RUA DOUTOR WAGNER REIS, N. 5445, Apto 11, 2º PAVIMENTO OU 1º ANDAR ;211.000,00;211.000,00;0.00;Apartamento, 0.00 de área total, 60.89 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417377445
8,44442E+12;SP ;FRANCA ;RESIDENCIAL SAO JERONIMO ;RUA ALZIRA DE CASTRO OLIVEIRA, N. 5025, Apto 12, 2º PAVIMENTO OU 1º ANDAR ;165.000,00;165.000,00;0.00;Apartamento, 0.00 de área total, 53.40 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418412201
8,44442E+12;SP ;FRANCA ;RESIDENCIAL SAO JERONIMO ;RUA WALDOMIRO OLEGARIO DA SILVA, N. 5225, Apto 12, 2º PAVIMENTO OU 1º ANDAR ;187.000,00;187.000,00;0.00;Apartamento, 82.24 de área total, 65.14 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422518094
8,44442E+12;SP ;FRANCA ;RESIDENCIAL SAO JERONIMO ;RUA WALDOMIRO OLEGARIO DA SILVA, N. 5055, Apto 201, ;157.000,00;157.000,00;0.00;Apartamento, 0.00 de área total, 44.57 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423851960
8,44442E+12;SP ;FRANCA ;JARDIM JOAO LIPORONI ;RUA ELIEZER DE SALES VIANA (ANTIGA RUA CENTO E QUA, N. 1385, Apto 01, PAV 01 ;170.000,00;170.000,00;0.00;Apartamento, 0.00 de área total, 56.06 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416349189
8,44442E+12;SP ;FRANCA ;JARDIM JOAO LIPORONI ;RUA SARGENTO GILBERTO BOSCO, N. 1270, Apto 02, TÉRREO OU 1º PAVIMENTO ;190.000,00;190.000,00;0.00;Apartamento, 80.17 de área total, 54.24 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420169637
8,44442E+12;SP ;FRANCA ;JARDIM JOAO LIPORONI ;RUA SARGENTO GILBERTO BOSCO, N. 1295, LOTE 45 - QUADRA 10 ;230.000,00;230.000,00;0.00;Casa, 60.40 de área total, 60.40 de área privativa, 200.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421364450
8,78771E+12;SP ;FRANCA ;JARDIM NOSSA SENHORA DAS GRACAS ;RUA RUBENS RODRIGUES DE BARROS, N. 100, CASA 13B, QD B ;147.000,00;147.000,00;0.00;Casa, 47.31 de área total, 47.31 de área privativa, 112.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706265274
8,78771E+12;SP ;FRANCA ;JARDIM NOSSA SENHORA DAS GRACAS ;RUA BENEDICTO EURICO DO NASCIMENTO, N. 200, QD E ;135.000,00;135.000,00;0.00;Casa, 141.67 de área total, 47.31 de área privativa, 112.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706805465
8,78771E+12;SP ;FRANCA ;JARDIM NOSSA SENHORA DAS GRACAS ;RUA GABRIELA GARCIA CORTEZ, N. 100, CS 13C QD C LT 01 QD 22 ;170.000,00;170.000,00;0.00;Casa, 47.76 de área total, 47.31 de área privativa, 112.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709166340
8,7877E+12;SP ;FRANCA ;RESIDENCIAL SAO JOAO BATISTA ; RUA CENTO E TRÊS, N. 1275, LT 23 QD 16 ;180.000,00;180.000,00;0.00;Casa, 46.05 de área total, 46.05 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704923606
8,78771E+12;SP ;FRANCA ;CHACARA ESPRAIADO ;AVENIDA SAO VICENTE, N. 4100, Apto 403, BL 27 VG 423 ;157.306,31;156.000,00;0.00;Apartamento, 101.02 de área total, 46.88 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706967759
8,44443E+12;SP ;FRANCA ;VILA SANTA CRUZ ;AVENIDA SANTA CRUZ, N. 3255, Apto 305, BL 41 BOX 1407 ;146.280,28;140.000,00;0.00;Apartamento, 106.14 de área total, 45.36 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444432452452
8,7877E+12;SP ;FRANCA ;VILA SANTA CRUZ ;AVENIDA SANTA CRUZ, N. 3255, Apto 105, BL 25 VAGA DE GARAGEM 780 ;152.408,26;142.000,00;0.00;Apartamento, 106.14 de área total, 45.36 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700563710
8,7877E+12;SP ;FRANCA ;VILA SANTA CRUZ ;AVENIDA SANTA CRUZ, N. 3255, Apto 405, BL 33 ;151.953,36;131.000,00;0.00;Apartamento, 106.15 de área total, 45.36 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701466530
8,44443E+12;SP ;FRANCA ;VILA REZENDE ;AVENIDA MINISTRO RUI BARBOSA, N. 1960, Apto 12,  BL 10VAGA DE GARAGEM N 140 ;176.982,82;149.909,00;0.00;Apartamento, 50.89 de área total, 50.89 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444433002027
8,44443E+12;SP ;FRANCA ;FRANCA ;RUA JOSE GARCIA MOLINA, N. 1391, ;221.772,93;170.000,00;0.00;Casa, 46.00 de área total, 46.00 de área privativa, 160.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444434221458
8,44441E+12;SP ;FRANCISCO MORATO ;JARDIM ALEGRIA ;R PITANGUI, N. 227, CASA 02 ;134.784,21;223.000,00;39.56;Casa, 0.00 de área total, 55.03 de área privativa, 93.75 de área do terreno,  1 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407610520
8,55554E+12;SP ;FRANCISCO MORATO ;ESTANCIA BELEM ;RUA LAZARO CLAUDIO DE OLIVEIRA, N. 1195, CS 26 ;120.882,70;200.000,00;39.56;Casa, 0.00 de área total, 43.25 de área privativa, 87.31 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535726760
8,44441E+12;SP ;FRANCISCO MORATO ;VILA ROSSI ;AVENIDA SAO PAULO, N. 1330, Apto 01, ;123.904,77;205.000,00;39.56;Apartamento, 0.00 de área total, 57.05 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413877265
8,44442E+12;SP ;FRANCISCO MORATO ;CHACARA CAMPININHA ;RUA ANTONIO VIEIRA CARDOSO FILHO, N. 90, CS 14 ;200.000,00;200.000,00;0.00;Casa, 51.09 de área total, 51.09 de área privativa, 70.46 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416115412
8,78771E+12;SP ;FRANCISCO MORATO ;VILA MARIA LUIZA ;RUA AMERICANA, N. 350, Apto 14, BL 06 ;216.000,00;216.000,00;0.00;Apartamento, 123.21 de área total, 53.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705245091
8,44443E+12;SP ;FRANCISCO MORATO ;JARDIM SAO JOAO ;R AYRTON SENNA DA SILVA, N. 456, QD 48, LT 26A ;231.000,00;231.000,00;0.00;Casa, 52.65 de área total, 52.65 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427189960
8,44442E+12;SP ;FRANCISCO MORATO ;CHACARAS R S ALEIXO ;RUA TURQUIA, N. 329, CASA 07 ;197.690,96;186.000,00;0.00;Casa, 87.56 de área total, 59.92 de área privativa, 73.08 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421243172
8,44442E+12;SP ;FRANCISCO MORATO ;RECANTO SORAYA ;RUA MARIA JULIA, N. 207, CASA 09 ;195.840,10;171.000,00;0.00;Casa, 62.97 de área total, 56.00 de área privativa, 62.97 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422648613
8,44443E+12;SP ;FRANCISCO MORATO ;JARDIM ALEGRIA ;AVENIDA OURO PRETO, N. 679, RESD 02 ;232.887,91;190.000,00;0.00;Casa, 127.22 de área total, 56.44 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444430641320
8,78771E+12;SP ;FRANCO DA ROCHA ;RECANTO DA LAPA ;ESTRADA MUNICIPIO DO TABOAO, N. 800, Apto 33, BLC D 2º PAV ;98.963,30;167.000,00;40.75;Apartamento, 0.00 de área total, 48.66 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710620423
8,44442E+12;SP ;FRANCO DA ROCHA ;VILA ARTUR SESTINI ;AVENIDA SETE DE SETEMBRO, N. 2228, Apto 31, BL E, TR 01 ;113.629,74;188.000,00;39.56;Apartamento, 0.00 de área total, 42.37 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424535344
1,44442E+12;SP ;FRANCO DA ROCHA ;PARQUE SANTA DELFA ;RUA DAS CAMELIAS, N. SN, QD C, LT 08 ;378.405,36;625.000,00;39.46;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417914434
8,44442E+12;SP ;FRANCO DA ROCHA ;PORTAL DAS ALAMEDAS ;RUA PREFEITO JOSE BENEDITO HERNANDEZ, N. 591, LT 40 ;181.395,42;296.250,34;38.77;Casa, 0.00 de área total, 56.98 de área privativa, 98.91 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423087895
8,44442E+12;SP ;FRANCO DA ROCHA ;VILA PALMARES ;ESTRADA MUNICIPAL MANOEL DE JESUS, N. 898, Apto 41, BL A ;125.884,66;200.000,00;37.06;Apartamento, 0.00 de área total, 47.15 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415192715
8,78771E+12;SP ;FRANCO DA ROCHA ;CHACARAS DAS COLINAS ;ESTRADA MARCELO AUGUSTO DE JESUS PINTO, N. 1016, Apto 42, EDF 06 ;183.131,67;170.000,00;0.00;Apartamento, 71.12 de área total, 41.74 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713808393
8,44443E+12;SP ;FRANCO DA ROCHA ;VILA ELIZA ;RUA PARANA, N. 261, Apto 22, ;230.759,86;212.000,00;0.00;Apartamento, 42.52 de área total, 42.52 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444432241435
8,44443E+12;SP ;FRANCO DA ROCHA ;CHACARA SAO LUIZ ;AVENIDA TONICO LENCI, N. 2270, CS 16 ;240.372,15;220.000,00;0.00;Casa, 96.79 de área total, 47.83 de área privativa, 96.76 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426911688
8,44442E+12;SP ;FRANCO DA ROCHA ;CHACARA SAO LUIZ ;RUA ROBERT NESTA MARLEY, N. 294, Apto 02, 1 PAVIMENTO VG  N 02 ;208.978,40;187.000,00;0.00;Apartamento, 87.98 de área total, 59.47 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421784688
8,44443E+12;SP ;FRANCO DA ROCHA ;VILA PALMARES ;ESTRADA MANOEL DE JESUS, N. 335, Apto 22, PAV 02 BL D ;219.957,05;188.000,00;0.00;Apartamento, 102.56 de área total, 42.37 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428934820
8,44443E+12;SP ;FRANCO DA ROCHA ;VILA PALMARES ;ESTRADA MANOEL DE JESUS, N. 335, Apto 22, BL H ;202.362,03;166.000,00;0.00;Apartamento, 102.57 de área total, 42.37 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427110883
8,78771E+12;SP ;GARCA ;JARDIM TRES MARIAS ;RUA DORIDES FURLANETO, N. 1002, LOTE 48, QUADRA A ;85.477,60;146.000,00;41.46;Casa, 45.59 de área total, 45.59 de área privativa, 160.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712344075
8,78771E+12;SP ;GARCA ;JARDIM TRES MARIAS ;RUA 1, N. 922, QD.A LT.40 ;83.955,39;143.400,00;41.46;Casa, 0.00 de área total, 45.59 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712367989
8,78771E+12;SP ;GARCA ;JARDIM VISTA VERDE (JAFA) ;RUA JOAO SCAQUETTE, N. 140, QD G LT 16 ;93.629,95;158.000,00;40.75;Casa, 0.00 de área total, 50.78 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706969930
8,44442E+12;SP ;GARCA ;ARACELI ;RUA SAO PAULO, N. 674, LT 07 QD 36 ;86.900,80;146.000,00;40.48;Casa, 0.00 de área total, 37.12 de área privativa, 150.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419833936
8,55553E+12;SP ;GARCA ;RESIDENCIAL MONTE VERDE ;AVENIDA VEREADOR OLIVIO TURATO, N. 665,  LT 18 QD M ;125.750,00;125.750,00;0.00;Casa, 45.24 de área total, 45.24 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555527437649
8,44442E+12;SP ;GARCA ;JARDIM MORUMBI ;RUA ALCIDES ANGELO GAMBA, N. 187, N 32 QD F ;160.000,00;160.000,00;0.00;Casa, 63.02 de área total, 63.02 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417637153
10208908;SP ;GLICERIO ;CENTRO ;AVENIDA ADOLPHO HECHT JUNIOR, N. 00, ÁREA 01,ESQ RUA JOÃO ANTÔNIO DE CASTIL ;690.676,72;1.127.995,50;38.77;Galpão, 0.00 de área total, 891.95 de área privativa, 986.85 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10208908
8,44441E+12;SP ;GUAICARA ;CENTRO ;RUA NOE FRANCO DA ROCHA, N. 285, . ;119.673,87;198.000,00;39.56;Casa, 0.00 de área total, 71.61 de área privativa, 162.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405325364
8,44443E+12;SP ;GUAIMBE ;CONJUNTO HABITACIONAL NOSSA SENHORA APAR ;RUA PEDRO RONCHI, N. 949, LT 02 QD F ;91.035,87;165.000,00;44.83;Casa, 0.00 de área total, 53.56 de área privativa, 136.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425891594
10214476;SP ;GUAIRA ;PORTAL DO LAGO A ;AVENIDA 45, N. 176, QD D, LT 115 ;630.000,00;630.000,00;0.00;Casa, 0.00 de área total, 205.65 de área privativa, 275.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10214476
8,44443E+12;SP ;GUAPIACU ;GUAPIAÇU ; RUA ALICE APARECIDA ZANCHETTA, N. S/N, LOTE 24, QUADRA D, ANTIGA RUA PROJETAD ;150.018,54;50.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 150.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426397631
1,44441E+12;SP ;GUARA ;RIO VERDE ;RUA ANTONIA A GUILHERME, N. 35, . ;129.031,78;205.000,00;37.06;Casa, 0.00 de área total, 97.68 de área privativa, 250.00 de área do terreno,  3 qto(s), WC, cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413273523
8,44443E+12;SP ;GUARA ;ANTONIO ABBOUD ; RUA FERNANDO DOS SANTOS CALDAS, N. 740, LOTE 07 - QUADRA E ;198.700,00;198.700,00;0.00;Casa, 52.06 de área total, 52.06 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425226027
8,4444E+12;SP ;GUARATINGUETA ;JARDIM DO VALE ;RUA JOSE PEREIRA DOS SANTOS FILHO, N. 387, ;308.000,00;308.000,00;0.00;Casa, 69.10 de área total, 69.10 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402761791
8,78771E+12;SP ;GUARATINGUETA ;LOTEAMENTO RESIDENCIAL ITALIA ;RUA MINERVINA PEREIRA DOS REIS, N. 114, ;208.000,00;208.000,00;0.00;Casa, 44.71 de área total, 44.71 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711979441
8,55551E+12;SP ;GUARUJA ;PRAIA DA ENSEADA ;RUA MARIA ALZIRA DA CONCEICAO (ANTIGA RUA 20), N. 60, Apto 12, ;171.000,00;285.000,00;40.00;Apartamento, 150.16 de área total, 80.54 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555511044413
8,44442E+12;SP ;GUARUJA ;VILA ZILDA ;RUA QUATRO, N. 77, QD 08 LT 31 ;123.904,77;205.000,00;39.56;Casa, 0.00 de área total, 43.33 de área privativa, 101.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423178734
8,78771E+12;SP ;GUARUJA ;JARDIM DOS PASSAROS ;RUA BEM-TE-VI, N. 94, Apto 107, PAV 2 ;146.340,78;239.000,00;38.77;Apartamento, 0.00 de área total, 38.61 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787714273191
10211600;SP ;GUARUJA ;JARDIM PERNAMBUCO II ;RUA KENZI TAMAYOSE, N. 00, QD 14, LT 06 ;312.919,35;511.051,86;38.77;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10211600
8,44441E+12;SP ;GUARUJA ;JARDIM BOA ESPERANCA (VICENTE DE CARVALH ;AVENIDA SANTOS DUMONT, N. 1915, Apto 01, PAV 2 BL H ;136.123,33;216.266,74;37.06;Apartamento, 0.00 de área total, 50.01 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414500220
1,44441E+12;SP ;GUARUJA ;CONCEICAOZINHA ;RUA VALDOMIRO MACARIO, N. 275, Apto 22, TIPO A 3º PAVIMENTO ;135.955,43;216.000,00;37.06;Apartamento, 0.00 de área total, 56.41 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410339949
1,55551E+12;SP ;GUARUJA ;BALNEARIO PRAIA DO PERNAMBUCO ;RUA DAS JARANAS, N. 310, LT-11 QD-39 ;261.936,18;411.000,00;36.27;Casa, 0.00 de área total, 254.60 de área privativa, 540.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555514455122
1,3212E+12;SP ;GUARUJA ;ENSEADA ;R COLOMBIA, N. 741, Apto 62, ;227.451,29;356.890,29;36.27;Apartamento, 0.00 de área total, 65.47 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1321200000176
